node,anime,community
28249,Arslan Senki (TV),0
28497,Rokka no Yuusha,0
28623,Koutetsujou no Kabaneri,0
28701,Fate/stay night: Unlimited Blade Works 2nd Season,0
28755,Boruto: Naruto the Movie,0
28833,Chain Chronicle: Haecceitas no Hikari,0
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",0
28927,Owari no Seraph: Nagoya Kessen-hen,0
29758,Taboo Tattoo,0
29803,Overlord,0
30091,Chaos Dragon: Sekiryuu Seneki,0
30296,Rakudai Kishi no Cavalry,0
30321,Strike the Blood: Valkyria no Oukoku-hen,0
30347,Nanatsu no Taizai OVA,0
30370,Akatsuki no Yona OVA,0
30385,Valkyrie Drive: Mermaid,0
30458,"Tokyo Ghoul: ""Jack""",0
30694,Dragon Ball Super,0
30736,Shingeki no Bahamut: Virgin Soul,0
30749,Saijaku Muhai no Bahamut,0
30778,Fairy Tail Movie 2: Dragon Cry,0
30831,Kono Subarashii Sekai ni Shukufuku wo!,0
30901,Utawarerumono: Itsuwari no Kamen,0
30911,Tales of Zestiria the Cross,0
31121,Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,0
31138,Overlord: Ple Ple Pleiades,0
31147,Concrete Revolutio: Choujin Gensou,0
31297,"Tokyo Ghoul: ""Pinto""",0
31318,Comet Lucifer,0
31339,Drifters,0
31378,Owari no Seraph: Kyuuketsuki Shahar,0
31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,0
31442,Musaigen no Phantom World,0
31452,Norn9: Norn+Nonet,0
31490,One Piece Film: Gold,0
31592,Pokemon XY&Z,0
31629,Granblue Fantasy The Animation,0
31636,Dagashi Kashi,0
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",0
31710,Divine Gate,0
31722,Nanatsu no Taizai: Seisen no Shirushi,0
31741,Magi: Sinbad no Bouken (TV),0
31756,Owari no Seraph: The Beginning of the End,0
31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,0
31765,Sword Art Online Movie: Ordinal Scale,0
31821,Arslan Senki (TV): Fuujin Ranbu,0
31859,Hai to Gensou no Grimgar,0
31918,Owaranai Seraph: Nagoya-hen,0
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,0
32051,One Piece: Adventure of Nebulandia,0
32083,Luck & Logic,0
32094,Reikenzan: Hoshikuzu-tachi no Utage,0
32105,Sousei no Onmyouji,0
32171,Ange Vierge,0
32360,Qualidea Code,0
32365,Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,0
32370,D.Gray-man Hallow,0
32379,Berserk,0
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,0
32407,Clockwork Planet,0
32595,Seisen Cerberus: Ryuukoku no Fatalités,0
32608,Endride,0
32615,Youjo Senki,0
32801,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,0
32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,0
32900,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,0
32924,Urara Meirochou,0
32936,Gin no Guardian,0
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,0
32951,Rokudenashi Majutsu Koushi to Akashic Records,0
33018,Katsugeki/Touken Ranbu,0
33023,Touken Ranbu: Hanamaru,0
33047,Fate/Extra: Last Encore,0
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,0
